location_id,city,region,country
l_tolleson-arizona-usa,Tolleson,Arizona,USA
l_yantai-shandong-china,"Yantai, Shandong",,China
l_southington-connecticut-usa,Southington,Connecticut,USA
l_yongkang-zhejiang-china,"Yongkang, Zhejiang",,China
l_yuyao-zhejiang-china,"Yuyao, Zhejiang",,China
l_hongkong-hong-kong-china,"Hongkong, Hong Kong",,China
l_stephansposching-bayern-germany,"Stephansposching, Bayern",,Germany
l_hampton-new-hampshire-usa,Hampton,New Hampshire,USA
l_zhaoqing-guangdong-china,"Zhaoqing, Guangdong",,China
l_houzhou-zhejiang-china,"Houzhou, Zhejiang",,China
l_jiangshan-zhejiang-china,"Jiangshan, Zhejiang",,China
l_zhengzhou-henan-china,"Zhengzhou, Henan",,China
l_arlington-massachusetts-usa,Arlington,Massachusetts,USA
l_newport-beach-california-usa,Newport Beach,California,USA
l_randolph-new-jersey-usa,Randolph,New Jersey,USA
l_little-elm-texas-usa,Little Elm,Texas,USA
